Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
30,527451180,M,RM,21,1680,Pave,NA,1,Lvl,1,Inside,1,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504,3,3,CBlock,3,3,4,4,156,6,0,327,483,GasA,3,Y,1,483,504,0,987,0,0,1,1,2,1,3,5,1,0,6,Detchd,1971,3,1,264,3,3,1,275,0,0,0,0,0,5,5,NA,0,2,2010,COD,Normal,96000
31,527451330,M,RM,21,1680,Pave,NA,1,Lvl,1,Inside,1,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492,3,3,CBlock,3,3,4,4,300,6,0,225,525,GasA,3,Y,1,525,567,0,1092,0,0,1,1,3,1,3,6,1,0,6,Detchd,1997,3,1,320,3,3,1,0,0,0,0,0,0,5,5,NA,0,3,2010,WD ,Normal,105500
33,527452190,L,RL,53,4043,Pave,NA,1,Lvl,1,Inside,1,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,None,0,3,3,CBlock,2,3,4,2,360,6,0,709,1069,GasA,3,Y,1,1069,0,0,1069,0,0,2,0,2,1,3,4,1,1,4,Attchd,1977,2,2,440,3,3,1,0,55,0,0,165,0,5,5,NA,0,7,2010,WD ,Normal,127500
34,527453130,M,RL,24,2280,Pave,NA,1,Lvl,1,FR2,1,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0,3,3,CBlock,3,3,4,2,514,6,0,341,855,GasA,3,Y,1,855,601,0,1456,0,0,2,1,3,1,2,6,1,1,3,Attchd,1975,3,2,440,3,3,1,173,0,0,0,0,0,5,5,NA,0,6,2010,WD ,Normal,149900
35,527453150,L,RL,24,2280,Pave,NA,1,Lvl,1,FR2,1,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0,3,3,CBlock,2,3,4,6,0,6,0,836,836,GasA,1,Y,1,836,0,0,836,0,0,1,0,2,1,3,4,1,0,6,Attchd,1975,3,1,308,3,3,1,0,30,0,0,0,0,5,5,NA,0,6,2010,WD ,Normal,120000
36,527454200,M,RL,24,2280,Pave,NA,1,Lvl,1,Inside,1,NPkVill,Norm,Norm,Twnhs,2Story,6,5,1978,1978,Gable,CompShg,Plywood,Brk Cmn,None,0,3,3,CBlock,2,3,4,2,311,6,0,544,855,GasA,4,Y,1,855,601,0,1456,0,0,2,1,3,1,3,7,1,1,3,Attchd,1978,3,2,440,3,3,1,26,0,0,0,0,0,5,5,NA,0,7,2010,WD ,Normal,146000
50,528181050,L,RL,41,7132,Pave,NA,2,Lvl,1,Inside,1,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178,2,3,PConc,2,3,3,1,24,6,0,1346,1370,GasA,1,Y,1,1370,0,0,1370,0,0,2,0,2,1,2,6,1,1,2,Attchd,2006,2,2,484,3,3,1,120,49,0,0,0,0,5,5,NA,0,4,2010,WD ,Normal,205000
52,528218150,A,RL,100,18494,Pave,NA,2,Lvl,1,Corner,1,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,2,3,PConc,2,3,4,6,0,6,0,1324,1324,GasA,1,Y,1,1324,0,0,1324,0,0,2,0,3,1,2,6,1,0,6,Attchd,2005,1,2,430,3,3,1,36,23,0,0,0,0,5,5,NA,0,1,2010,WD ,Normal,199500
53,528228285,L,RL,43,3203,Pave,NA,1,Lvl,1,Inside,1,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14,2,3,PConc,2,3,2,1,16,6,0,1129,1145,GasA,1,Y,1,1145,0,0,1145,0,0,2,0,2,1,2,6,1,0,6,Attchd,2006,1,2,437,3,3,1,100,116,0,0,0,0,5,5,NA,0,1,2010,WD ,Normal,160000
54,528228440,L,RL,43,3182,Pave,NA,1,Lvl,1,Inside,1,Blmngtn,Norm,Norm,TwnhsE,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,16,2,3,PConc,2,3,4,1,24,6,0,1232,1256,GasA,1,Y,1,1269,0,0,1269,0,0,2,0,2,1,2,6,1,1,3,Attchd,2004,1,2,430,3,3,1,146,20,0,0,144,0,5,5,NA,0,4,2010,WD ,Normal,192000
55,528231020,I,RL,67,13300,Pave,NA,2,Lvl,1,Inside,1,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,2,3,PConc,2,3,4,1,326,6,0,58,384,GasA,1,Y,1,744,630,0,1374,1,0,2,1,3,1,2,7,1,1,2,BuiltIn,2004,1,2,400,3,3,1,100,0,0,0,0,0,5,5,NA,0,6,2010,WD ,Normal,184500
72,528480090,A,FV,84,10440,Pave,NA,1,Lvl,1,Corner,1,Somerst,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,2,3,PConc,1,3,4,1,1414,6,0,54,1468,GasA,1,Y,1,1468,0,0,1468,1,0,2,0,2,1,2,6,1,1,2,Attchd,2005,1,2,528,3,3,1,0,102,0,0,216,0,5,5,NA,0,5,2010,WD ,Normal,271500
76,531451110,L,RL,50,8012,Pave,NA,1,Lvl,1,Inside,1,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1980,1980,Gable,CompShg,Plywood,Plywood,None,0,3,3,CBlock,2,3,4,3,543,3,119,261,923,GasA,3,Y,1,923,0,0,923,0,0,2,0,2,1,3,5,1,1,3,Attchd,1980,2,1,264,3,3,1,80,0,0,0,0,0,5,5,NA,0,5,2010,WD ,Normal,143000
78,531452020,L,RL,55,7892,Pave,NA,1,Lvl,1,Inside,1,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1979,1979,Gable,CompShg,Plywood,Plywood,None,0,3,3,CBlock,2,3,4,6,0,6,0,918,918,GasA,3,Y,1,918,0,0,918,0,0,2,0,2,1,3,5,1,1,3,Attchd,1979,3,1,264,3,3,1,28,0,0,0,0,0,5,5,NA,0,4,2010,WD ,Normal,99500
79,531452050,L,RL,50,7175,Pave,NA,1,Lvl,1,Inside,1,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1984,1984,Gable,CompShg,Plywood,Plywood,None,0,3,3,CBlock,2,3,4,2,623,5,121,0,744,GasA,3,Y,1,752,0,0,752,1,0,1,0,2,1,3,4,1,0,6,Attchd,1984,3,1,264,3,3,1,353,0,0,0,90,0,5,2,NA,0,2,2010,WD ,Normal,125000
81,531453010,A,RL,81,9672,Pave,NA,1,Lvl,1,Corner,1,SawyerW,Norm,Norm,1Fam,1Story,6,5,1984,1985,Hip,CompShg,HdBoard,Plywood,None,0,3,3,PConc,2,3,4,1,338,6,0,702,1040,GasA,3,Y,1,1097,0,0,1097,0,0,2,0,3,1,3,6,1,0,6,Attchd,1986,3,2,480,3,3,1,0,0,0,0,0,0,5,1,NA,0,5,2010,WD ,Normal,152000
83,531477050,B,RH,70,9800,Pave,NA,1,Lvl,1,Corner,1,SawyerW,Feedr,Norm,1Fam,1Story,5,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,4,BrkTil,3,3,4,6,0,6,0,816,816,GasA,3,N,2,1012,0,0,1012,0,0,1,0,2,1,3,5,1,0,6,Detchd,1920,3,1,429,3,3,1,121,0,80,0,0,0,5,5,NA,0,4,2010,WD ,Normal,67500
85,532354090,J,RL,88,11782,Pave,NA,2,Lvl,1,Inside,1,Sawyer,Norm,Norm,1Fam,SFoyer,5,7,1961,1995,Gable,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,3,3,2,2,899,6,0,210,1109,GasA,3,Y,1,1155,0,0,1155,1,0,1,0,3,1,2,6,3,0,6,Detchd,1987,3,2,576,3,3,1,192,0,0,0,0,0,5,2,Shed,400,6,2010,WD ,Normal,148000
86,532376160,A,RL,65,8450,Pave,NA,1,Lvl,1,Inside,1,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0,3,2,CBlock,3,3,4,1,553,3,117,224,894,GasA,1,Y,1,894,0,0,894,1,0,1,0,3,1,3,5,1,1,2,Detchd,1973,3,1,336,3,3,1,416,144,0,0,0,0,5,2,NA,0,4,2010,WD ,Normal,138500
88,532377100,A,RL,75,7500,Pave,NA,1,Lvl,1,Corner,1,Sawyer,Feedr,Norm,1Fam,1Story,5,5,1963,1963,Gable,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,3,3,4,2,824,6,0,216,1040,GasA,4,Y,1,1040,0,0,1040,1,0,1,1,3,1,3,5,1,0,6,Attchd,1963,1,1,308,3,3,1,0,0,220,0,0,0,5,2,NA,0,6,2010,WD ,Normal,133000
94,533205060,L,FV,25,4835,Pave,NA,2,Lvl,1,CulDSac,1,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0,2,3,PConc,1,3,2,1,1298,6,0,190,1488,GasA,1,Y,1,1488,0,0,1488,1,0,2,0,2,1,2,6,1,1,2,Attchd,2004,1,2,506,3,3,1,168,50,0,0,0,0,5,5,NA,0,3,2010,WD ,Normal,260000
96,533210060,M,FV,30,3215,Pave,Pave,1,Lvl,1,Inside,1,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,MetalSd,MetalSd,BrkFace,120,2,3,PConc,2,3,2,1,280,6,0,320,600,GasA,1,Y,1,600,600,0,1200,0,0,2,1,2,1,2,4,1,0,6,Detchd,2004,2,2,480,3,3,1,0,172,0,0,0,0,5,5,NA,0,4,2010,ConLD,Normal,155000
97,533212010,M,FV,30,3182,Pave,Pave,1,Lvl,1,Inside,1,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0,2,3,PConc,2,3,4,6,0,6,0,600,600,GasA,1,Y,1,600,600,0,1200,0,0,2,1,2,1,2,4,1,0,6,Detchd,2004,2,2,480,3,3,1,0,172,0,0,0,0,5,5,NA,0,6,2010,WD ,Normal,151000
98,533212020,M,FV,24,2544,Pave,Pave,1,Lvl,1,Inside,1,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0,2,3,PConc,2,3,4,1,368,2,42,190,600,GasA,1,Y,1,600,600,0,1200,1,0,2,1,2,1,2,4,1,0,6,Detchd,2004,2,2,480,3,3,1,0,172,0,0,0,0,5,5,NA,0,2,2010,WD ,Normal,149500
99,533212060,M,FV,24,2544,Pave,Pave,1,Lvl,1,Inside,1,Somerst,Norm,Norm,Twnhs,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,216,2,3,PConc,2,3,4,1,376,6,0,224,600,GasA,1,Y,1,600,636,0,1236,1,0,2,1,2,1,2,4,1,0,6,Detchd,2005,2,2,480,3,3,1,0,166,0,0,0,0,5,5,NA,0,5,2010,WD ,Normal,152000
103,533223020,M,FV,24,2572,Pave,NA,1,Lvl,1,FR2,1,Somerst,Norm,Norm,Twnhs,2Story,7,5,1999,1999,Hip,CompShg,MetalSd,MetalSd,None,0,2,3,PConc,2,3,4,2,604,6,0,92,696,GasA,1,Y,1,696,720,0,1416,1,0,2,1,3,1,2,6,1,0,6,Detchd,1999,3,2,484,3,3,1,0,44,0,0,0,0,5,5,NA,0,5,2010,WD ,Normal,155000
107,533253060,L,RL,30,4420,Pave,NA,2,Lvl,1,CulDSac,1,Greens,Norm,Norm,TwnhsE,1Story,8,5,1980,1980,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,2,3,CBlock,2,3,1,1,728,6,0,0,728,GasA,3,Y,1,788,0,0,788,1,0,1,0,1,1,2,3,1,1,3,Detchd,1980,1,2,484,3,3,1,133,42,0,0,0,0,5,5,NA,0,6,2010,WD ,Normal,155000
108,533253210,L,RL,40,3880,Pave,NA,2,Lvl,1,Inside,1,Greens,Norm,Norm,Twnhs,1Story,8,6,1978,1978,Gable,CompShg,Wd Sdng,Plywood,None,0,2,3,CBlock,2,3,1,1,1052,6,0,174,1226,GasA,3,Y,1,1226,0,0,1226,1,0,1,0,1,1,2,4,1,1,3,Attchd,1978,1,2,484,3,3,1,223,78,0,0,0,0,5,5,NA,0,1,2010,WD ,Normal,206000
110,534102025,A,FV,80,8000,Pave,NA,1,Lvl,1,Inside,1,Somerst,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0,2,3,PConc,2,3,4,1,833,6,0,659,1492,GasA,1,Y,1,1492,0,0,1492,1,0,2,0,3,1,2,6,1,1,2,Attchd,2002,2,2,596,3,3,1,277,137,0,0,0,0,5,5,NA,0,4,2010,WD ,Normal,230000
116,534176060,A,RL,78,9360,Pave,NA,1,Lvl,1,Inside,1,NWAmes,Norm,Norm,1Fam,1Story,6,7,1972,2006,Hip,CompShg,Plywood,Plywood,None,0,3,3,CBlock,3,3,4,2,982,6,0,179,1161,GasA,3,Y,1,1381,0,0,1381,1,0,1,1,3,1,2,5,1,1,3,Attchd,1972,2,2,676,3,3,1,0,0,0,0,0,0,5,5,NA,0,3,2010,WD ,Normal,197500
118,534202160,A,RL,80,9600,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,5,1966,1966,Hip,CompShg,VinylSd,VinylSd,BrkFace,172,3,3,CBlock,3,3,4,4,698,6,0,534,1232,GasA,3,Y,1,1232,0,0,1232,1,0,1,1,3,1,3,6,1,0,6,Attchd,1966,2,2,490,3,3,1,0,224,0,0,0,0,5,5,NA,0,4,2010,WD ,Normal,142250
121,534401110,A,RL,90,9900,Pave,NA,1,Lvl,1,Corner,1,NAmes,Norm,Norm,1Fam,1Story,5,5,1966,1966,Hip,CompShg,HdBoard,HdBoard,None,0,3,3,PConc,2,3,4,3,1059,6,0,150,1209,GasA,2,Y,1,1209,0,0,1209,1,0,1,0,3,1,3,6,1,0,6,Attchd,1966,2,2,504,3,3,1,0,0,120,0,0,0,5,5,NA,0,4,2010,ConLD,Normal,159000
127,534430080,A,RL,68,9717,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1950,1996,Hip,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,3,1,49,4,1029,0,1078,GasA,2,Y,2,1078,0,0,1078,1,0,1,0,2,1,2,5,1,0,6,Attchd,1950,3,1,240,3,3,1,366,0,112,0,0,0,5,5,NA,0,4,2010,WD ,Normal,142125
132,534475100,A,RL,80,9920,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110,3,3,CBlock,3,3,4,4,354,5,290,412,1056,GasA,3,Y,1,1063,0,0,1063,1,0,1,0,3,1,3,6,1,0,6,Attchd,1954,2,1,280,3,3,1,0,0,164,0,0,0,5,2,NA,0,2,2010,WD ,Normal,128000
134,534479320,A,RL,78,7800,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1954,Gable,CompShg,HdBoard,HdBoard,BrkFace,200,3,3,PConc,3,3,4,5,540,6,0,728,1268,GasA,2,Y,1,1268,0,0,1268,0,0,1,0,2,1,3,7,1,1,2,Attchd,1954,1,1,244,3,3,1,0,98,0,0,0,0,5,5,NA,0,3,2010,WD ,Normal,132000
135,535101020,J,RL,75,11380,Pave,NA,2,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,SFoyer,6,8,1966,2008,Gable,CompShg,HdBoard,HdBoard,BrkFace,216,3,3,CBlock,3,3,1,1,944,6,0,136,1080,GasA,2,Y,1,1128,0,0,1128,1,0,1,0,2,1,2,5,1,1,2,Attchd,1966,3,1,315,3,3,1,238,0,0,0,0,0,5,5,Shed,1500,1,2010,WD ,Normal,178000
140,535152050,A,RL,70,8197,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,7,5,2003,2009,Gable,CompShg,VinylSd,VinylSd,BrkFace,506,2,3,PConc,2,3,4,1,1188,6,0,292,1480,GasA,1,Y,1,1480,0,0,1480,1,0,2,0,3,1,2,7,1,0,6,Attchd,2003,2,2,620,3,3,1,252,73,0,0,0,0,5,2,Shed,300,2,2010,WD ,Normal,214000
143,535152250,A,RL,70,8400,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1957,Gable,CompShg,MetalSd,MetalSd,None,0,3,2,CBlock,3,3,4,4,922,6,0,392,1314,GasA,3,Y,1,1314,0,0,1314,1,0,1,0,3,1,3,5,1,0,6,Attchd,1957,2,1,294,3,3,1,250,0,0,0,0,0,5,5,NA,0,6,2010,WD ,Normal,145000
144,535153070,A,RL,73,8760,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1959,1959,Hip,CompShg,MetalSd,MetalSd,BrkFace,220,3,3,CBlock,3,3,4,6,0,6,0,1194,1194,GasA,3,Y,1,1194,0,0,1194,1,0,1,0,3,1,3,6,1,0,6,Attchd,1959,2,1,312,3,3,1,0,0,120,0,0,0,5,5,NA,0,4,2010,WD ,Normal,148000
146,535175070,A,RL,73,9300,Pave,NA,1,Lvl,1,Inside,1,NAmes,Feedr,Norm,1Fam,1Story,5,5,1960,1960,Gable,CompShg,MetalSd,HdBoard,BrkFace,324,3,3,CBlock,3,3,4,4,697,6,0,571,1268,GasA,3,Y,1,1264,0,0,1264,1,0,1,0,3,1,3,6,1,2,2,Attchd,1960,3,2,461,3,3,1,0,0,0,0,143,0,5,5,NA,0,4,2010,WD ,Normal,167500
147,535175180,A,RL,87,10725,Pave,NA,2,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,MetalSd,MetalSd,BrkFace,91,3,3,CBlock,3,3,4,4,936,6,0,270,1206,GasA,4,Y,1,1206,0,0,1206,0,0,1,0,3,1,3,6,1,0,6,Attchd,1959,2,1,312,3,3,1,0,21,0,0,0,0,5,5,NA,0,5,2010,WD ,Normal,108538
149,535180130,E,RL,60,8382,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1.5Fin,4,5,1956,1956,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,4,6,0,6,0,832,832,GasA,3,Y,2,832,505,0,1337,0,0,1,0,3,1,3,5,1,0,6,Attchd,1956,3,1,263,3,3,1,0,0,0,0,0,0,5,5,NA,0,2,2010,WD ,Normal,108000
150,535302080,A,RL,60,10950,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,7,1952,1952,Gable,CompShg,WdShing,Wd Shng,None,0,3,3,CBlock,3,3,4,3,339,6,0,525,864,GasA,3,Y,1,1064,0,0,1064,0,1,1,0,2,1,4,4,1,0,6,Detchd,1952,3,1,318,3,3,1,0,0,0,0,0,0,5,5,NA,0,5,2010,WD ,Normal,135000
151,535302200,A,RL,119,10895,Pave,NA,1,Lvl,1,Corner,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,0,3,2,CBlock,3,3,4,4,648,6,0,324,972,GasA,3,Y,1,972,0,0,972,0,0,1,0,3,1,3,5,1,0,6,Attchd,1955,3,1,305,3,3,1,0,0,205,0,0,0,5,3,NA,0,6,2010,WD ,Normal,122500
154,535325400,C,RL,65,7898,Pave,NA,1,Lvl,1,Corner,1,NAmes,Norm,Norm,1Fam,1Story,4,7,1920,1994,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,BrkTil,3,3,4,6,0,6,0,576,576,GasA,2,Y,1,985,0,0,985,0,1,1,0,2,1,3,4,1,0,6,Detchd,1989,3,2,676,3,3,3,0,0,0,0,0,0,5,5,NA,0,4,2010,WD ,Normal,105000
155,535327140,A,RL,60,7200,Pave,NA,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,7,1955,2007,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,Slab,6,6,5,7,0,7,0,0,0,GasA,1,Y,1,827,0,0,827,0,0,1,0,2,1,3,5,4,1,5,Detchd,1967,3,1,392,3,3,1,0,0,0,0,0,0,5,5,NA,0,4,2010,WD ,Normal,107500
