Order,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
36,M,RL,24,2280,Pave,NA,1,Lvl,Inside,1,NPkVill,Norm,Norm,Twnhs,2Story,6,5,1978,1978,Gable,CompShg,Plywood,Brk Cmn,None,0,3,3,CBlock,2,3,4,2,311,6,0,544,855,GasA,4,Y,1,855,601,0,1456,0,0,2,1,3,1,3,7,1,1,3,Attchd,1978,3,2,440,3,3,1,26,0,0,0,0,0,5,5,NA,0,7,2010,WD ,146000
50,L,RL,41,7132,Pave,NA,2,Lvl,Inside,1,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178,2,3,PConc,2,3,3,1,24,6,0,1346,1370,GasA,1,Y,1,1370,0,0,1370,0,0,2,0,2,1,2,6,1,1,2,Attchd,2006,2,2,484,3,3,1,120,49,0,0,0,0,5,5,NA,0,4,2010,WD ,205000
53,L,RL,43,3203,Pave,NA,1,Lvl,Inside,1,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14,2,3,PConc,2,3,2,1,16,6,0,1129,1145,GasA,1,Y,1,1145,0,0,1145,0,0,2,0,2,1,2,6,1,0,6,Attchd,2006,1,2,437,3,3,1,100,116,0,0,0,0,5,5,NA,0,1,2010,WD ,160000
54,L,RL,43,3182,Pave,NA,1,Lvl,Inside,1,Blmngtn,Norm,Norm,TwnhsE,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,16,2,3,PConc,2,3,4,1,24,6,0,1232,1256,GasA,1,Y,1,1269,0,0,1269,0,0,2,0,2,1,2,6,1,1,3,Attchd,2004,1,2,430,3,3,1,146,20,0,0,144,0,5,5,NA,0,4,2010,WD ,192000
76,L,RL,50,8012,Pave,NA,1,Lvl,Inside,1,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1980,1980,Gable,CompShg,Plywood,Plywood,None,0,3,3,CBlock,2,3,4,3,543,3,119,261,923,GasA,3,Y,1,923,0,0,923,0,0,2,0,2,1,3,5,1,1,3,Attchd,1980,2,1,264,3,3,1,80,0,0,0,0,0,5,5,NA,0,5,2010,WD ,143000
78,L,RL,55,7892,Pave,NA,1,Lvl,Inside,1,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1979,1979,Gable,CompShg,Plywood,Plywood,None,0,3,3,CBlock,2,3,4,6,0,6,0,918,918,GasA,3,Y,1,918,0,0,918,0,0,2,0,2,1,3,5,1,1,3,Attchd,1979,3,1,264,3,3,1,28,0,0,0,0,0,5,5,NA,0,4,2010,WD ,99500
79,L,RL,50,7175,Pave,NA,1,Lvl,Inside,1,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1984,1984,Gable,CompShg,Plywood,Plywood,None,0,3,3,CBlock,2,3,4,2,623,5,121,0,744,GasA,3,Y,1,752,0,0,752,1,0,1,0,2,1,3,4,1,0,6,Attchd,1984,3,1,264,3,3,1,353,0,0,0,90,0,5,2,NA,0,2,2010,WD ,125000
81,A,RL,81,9672,Pave,NA,1,Lvl,Corner,1,SawyerW,Norm,Norm,1Fam,1Story,6,5,1984,1985,Hip,CompShg,HdBoard,Plywood,None,0,3,3,PConc,2,3,4,1,338,6,0,702,1040,GasA,3,Y,1,1097,0,0,1097,0,0,2,0,3,1,3,6,1,0,6,Attchd,1986,3,2,480,3,3,1,0,0,0,0,0,0,5,1,NA,0,5,2010,WD ,152000
83,B,RH,70,9800,Pave,NA,1,Lvl,Corner,1,SawyerW,Feedr,Norm,1Fam,1Story,5,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,4,BrkTil,3,3,4,6,0,6,0,816,816,GasA,3,N,2,1012,0,0,1012,0,0,1,0,2,1,3,5,1,0,6,Detchd,1920,3,1,429,3,3,1,121,0,80,0,0,0,5,5,NA,0,4,2010,WD ,67500
86,A,RL,65,8450,Pave,NA,1,Lvl,Inside,1,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0,3,2,CBlock,3,3,4,1,553,3,117,224,894,GasA,1,Y,1,894,0,0,894,1,0,1,0,3,1,3,5,1,1,2,Detchd,1973,3,1,336,3,3,1,416,144,0,0,0,0,5,2,NA,0,4,2010,WD ,138500
88,A,RL,75,7500,Pave,NA,1,Lvl,Corner,1,Sawyer,Feedr,Norm,1Fam,1Story,5,5,1963,1963,Gable,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,3,3,4,2,824,6,0,216,1040,GasA,4,Y,1,1040,0,0,1040,1,0,1,1,3,1,3,5,1,0,6,Attchd,1963,1,1,308,3,3,1,0,0,220,0,0,0,5,2,NA,0,6,2010,WD ,133000
94,L,FV,25,4835,Pave,NA,2,Lvl,CulDSac,1,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0,2,3,PConc,1,3,2,1,1298,6,0,190,1488,GasA,1,Y,1,1488,0,0,1488,1,0,2,0,2,1,2,6,1,1,2,Attchd,2004,1,2,506,3,3,1,168,50,0,0,0,0,5,5,NA,0,3,2010,WD ,260000
96,M,FV,30,3215,Pave,Pave,1,Lvl,Inside,1,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,MetalSd,MetalSd,BrkFace,120,2,3,PConc,2,3,2,1,280,6,0,320,600,GasA,1,Y,1,600,600,0,1200,0,0,2,1,2,1,2,4,1,0,6,Detchd,2004,2,2,480,3,3,1,0,172,0,0,0,0,5,5,NA,0,4,2010,ConLD,155000
97,M,FV,30,3182,Pave,Pave,1,Lvl,Inside,1,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0,2,3,PConc,2,3,4,6,0,6,0,600,600,GasA,1,Y,1,600,600,0,1200,0,0,2,1,2,1,2,4,1,0,6,Detchd,2004,2,2,480,3,3,1,0,172,0,0,0,0,5,5,NA,0,6,2010,WD ,151000
98,M,FV,24,2544,Pave,Pave,1,Lvl,Inside,1,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0,2,3,PConc,2,3,4,1,368,2,42,190,600,GasA,1,Y,1,600,600,0,1200,1,0,2,1,2,1,2,4,1,0,6,Detchd,2004,2,2,480,3,3,1,0,172,0,0,0,0,5,5,NA,0,2,2010,WD ,149500
99,M,FV,24,2544,Pave,Pave,1,Lvl,Inside,1,Somerst,Norm,Norm,Twnhs,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,216,2,3,PConc,2,3,4,1,376,6,0,224,600,GasA,1,Y,1,600,636,0,1236,1,0,2,1,2,1,2,4,1,0,6,Detchd,2005,2,2,480,3,3,1,0,166,0,0,0,0,5,5,NA,0,5,2010,WD ,152000
103,M,FV,24,2572,Pave,NA,1,Lvl,FR2,1,Somerst,Norm,Norm,Twnhs,2Story,7,5,1999,1999,Hip,CompShg,MetalSd,MetalSd,None,0,2,3,PConc,2,3,4,2,604,6,0,92,696,GasA,1,Y,1,696,720,0,1416,1,0,2,1,3,1,2,6,1,0,6,Detchd,1999,3,2,484,3,3,1,0,44,0,0,0,0,5,5,NA,0,5,2010,WD ,155000
107,L,RL,30,4420,Pave,NA,2,Lvl,CulDSac,1,Greens,Norm,Norm,TwnhsE,1Story,8,5,1980,1980,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,2,3,CBlock,2,3,1,1,728,6,0,0,728,GasA,3,Y,1,788,0,0,788,1,0,1,0,1,1,2,3,1,1,3,Detchd,1980,1,2,484,3,3,1,133,42,0,0,0,0,5,5,NA,0,6,2010,WD ,155000
108,L,RL,40,3880,Pave,NA,2,Lvl,Inside,1,Greens,Norm,Norm,Twnhs,1Story,8,6,1978,1978,Gable,CompShg,Wd Sdng,Plywood,None,0,2,3,CBlock,2,3,1,1,1052,6,0,174,1226,GasA,3,Y,1,1226,0,0,1226,1,0,1,0,1,1,2,4,1,1,3,Attchd,1978,1,2,484,3,3,1,223,78,0,0,0,0,5,5,NA,0,1,2010,WD ,206000
110,A,FV,80,8000,Pave,NA,1,Lvl,Inside,1,Somerst,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0,2,3,PConc,2,3,4,1,833,6,0,659,1492,GasA,1,Y,1,1492,0,0,1492,1,0,2,0,3,1,2,6,1,1,2,Attchd,2002,2,2,596,3,3,1,277,137,0,0,0,0,5,5,NA,0,4,2010,WD ,230000
116,A,RL,78,9360,Pave,NA,1,Lvl,Inside,1,NWAmes,Norm,Norm,1Fam,1Story,6,7,1972,2006,Hip,CompShg,Plywood,Plywood,None,0,3,3,CBlock,3,3,4,2,982,6,0,179,1161,GasA,3,Y,1,1381,0,0,1381,1,0,1,1,3,1,2,5,1,1,3,Attchd,1972,2,2,676,3,3,1,0,0,0,0,0,0,5,5,NA,0,3,2010,WD ,197500
118,A,RL,80,9600,Pave,NA,1,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,5,1966,1966,Hip,CompShg,VinylSd,VinylSd,BrkFace,172,3,3,CBlock,3,3,4,4,698,6,0,534,1232,GasA,3,Y,1,1232,0,0,1232,1,0,1,1,3,1,3,6,1,0,6,Attchd,1966,2,2,490,3,3,1,0,224,0,0,0,0,5,5,NA,0,4,2010,WD ,142250
121,A,RL,90,9900,Pave,NA,1,Lvl,Corner,1,NAmes,Norm,Norm,1Fam,1Story,5,5,1966,1966,Hip,CompShg,HdBoard,HdBoard,None,0,3,3,PConc,2,3,4,3,1059,6,0,150,1209,GasA,2,Y,1,1209,0,0,1209,1,0,1,0,3,1,3,6,1,0,6,Attchd,1966,2,2,504,3,3,1,0,0,120,0,0,0,5,5,NA,0,4,2010,ConLD,159000
127,A,RL,68,9717,Pave,NA,1,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1950,1996,Hip,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,3,1,49,4,1029,0,1078,GasA,2,Y,2,1078,0,0,1078,1,0,1,0,2,1,2,5,1,0,6,Attchd,1950,3,1,240,3,3,1,366,0,112,0,0,0,5,5,NA,0,4,2010,WD ,142125
132,A,RL,80,9920,Pave,NA,1,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110,3,3,CBlock,3,3,4,4,354,5,290,412,1056,GasA,3,Y,1,1063,0,0,1063,1,0,1,0,3,1,3,6,1,0,6,Attchd,1954,2,1,280,3,3,1,0,0,164,0,0,0,5,2,NA,0,2,2010,WD ,128000
134,A,RL,78,7800,Pave,NA,1,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1954,Gable,CompShg,HdBoard,HdBoard,BrkFace,200,3,3,PConc,3,3,4,5,540,6,0,728,1268,GasA,2,Y,1,1268,0,0,1268,0,0,1,0,2,1,3,7,1,1,2,Attchd,1954,1,1,244,3,3,1,0,98,0,0,0,0,5,5,NA,0,3,2010,WD ,132000
140,A,RL,70,8197,Pave,NA,1,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,7,5,2003,2009,Gable,CompShg,VinylSd,VinylSd,BrkFace,506,2,3,PConc,2,3,4,1,1188,6,0,292,1480,GasA,1,Y,1,1480,0,0,1480,1,0,2,0,3,1,2,7,1,0,6,Attchd,2003,2,2,620,3,3,1,252,73,0,0,0,0,5,2,Shed,300,2,2010,WD ,214000
143,A,RL,70,8400,Pave,NA,1,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1957,Gable,CompShg,MetalSd,MetalSd,None,0,3,2,CBlock,3,3,4,4,922,6,0,392,1314,GasA,3,Y,1,1314,0,0,1314,1,0,1,0,3,1,3,5,1,0,6,Attchd,1957,2,1,294,3,3,1,250,0,0,0,0,0,5,5,NA,0,6,2010,WD ,145000
144,A,RL,73,8760,Pave,NA,1,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1959,1959,Hip,CompShg,MetalSd,MetalSd,BrkFace,220,3,3,CBlock,3,3,4,6,0,6,0,1194,1194,GasA,3,Y,1,1194,0,0,1194,1,0,1,0,3,1,3,6,1,0,6,Attchd,1959,2,1,312,3,3,1,0,0,120,0,0,0,5,5,NA,0,4,2010,WD ,148000
146,A,RL,73,9300,Pave,NA,1,Lvl,Inside,1,NAmes,Feedr,Norm,1Fam,1Story,5,5,1960,1960,Gable,CompShg,MetalSd,HdBoard,BrkFace,324,3,3,CBlock,3,3,4,4,697,6,0,571,1268,GasA,3,Y,1,1264,0,0,1264,1,0,1,0,3,1,3,6,1,2,2,Attchd,1960,3,2,461,3,3,1,0,0,0,0,143,0,5,5,NA,0,4,2010,WD ,167500
149,E,RL,60,8382,Pave,NA,1,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1.5Fin,4,5,1956,1956,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,4,6,0,6,0,832,832,GasA,3,Y,2,832,505,0,1337,0,0,1,0,3,1,3,5,1,0,6,Attchd,1956,3,1,263,3,3,1,0,0,0,0,0,0,5,5,NA,0,2,2010,WD ,108000
154,C,RL,65,7898,Pave,NA,1,Lvl,Corner,1,NAmes,Norm,Norm,1Fam,1Story,4,7,1920,1994,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,BrkTil,3,3,4,6,0,6,0,576,576,GasA,2,Y,1,985,0,0,985,0,1,1,0,2,1,3,4,1,0,6,Detchd,1989,3,2,676,3,3,3,0,0,0,0,0,0,5,5,NA,0,4,2010,WD ,105000
155,A,RL,60,7200,Pave,NA,1,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,7,1955,2007,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,Slab,6,6,5,7,0,7,0,0,0,GasA,1,Y,1,827,0,0,827,0,0,1,0,2,1,3,5,4,1,5,Detchd,1967,3,1,392,3,3,1,0,0,0,0,0,0,5,5,NA,0,4,2010,WD ,107500
157,A,RL,74,5868,Pave,NA,1,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,7,1956,2000,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,4,3,248,4,240,448,936,GasA,1,Y,1,936,0,0,936,1,0,1,0,2,1,3,4,1,0,6,Attchd,1956,1,1,308,3,3,1,0,0,80,0,160,0,5,5,NA,0,5,2010,WD ,129000
159,K,RL,64,6979,Pave,NA,1,Lvl,Inside,1,OldTown,Norm,Norm,Duplex,SFoyer,6,5,1980,1980,Gable,CompShg,Plywood,Plywood,None,0,3,3,CBlock,3,3,4,1,1056,6,0,0,1056,GasA,2,Y,1,1056,0,0,1056,2,0,0,0,0,2,3,4,1,0,6,Detchd,1980,3,2,576,3,3,1,264,56,0,0,0,0,5,1,Shed,600,6,2010,WD ,144000
162,E,RL,60,8064,Pave,NA,1,Lvl,Inside,1,NAmes,Artery,Norm,1Fam,1.5Fin,6,8,1948,2004,Gable,CompShg,WdShing,Wd Shng,None,0,3,3,CBlock,3,3,4,2,481,4,174,161,816,GasA,3,Y,1,816,408,0,1224,1,0,1,0,3,1,3,5,1,0,6,Detchd,1950,3,1,280,3,3,1,414,0,0,0,0,0,5,3,NA,0,5,2010,WD ,132000
163,A,RL,75,7500,Pave,NA,1,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,7,1959,1994,Hip,CompShg,BrkFace,BrkFace,None,0,3,3,CBlock,3,3,4,5,340,4,906,0,1246,GasA,1,Y,1,1246,0,0,1246,1,0,1,1,3,1,2,6,1,0,6,Attchd,1959,2,1,305,3,3,1,218,0,0,0,0,0,5,1,NA,0,5,2010,WD ,154000
164,E,RL,71,8520,Pave,NA,1,Lvl,Corner,1,NAmes,Artery,Norm,1Fam,1.5Fin,5,4,1952,1952,Gable,CompShg,BrkFace,Wd Sdng,None,0,3,4,CBlock,3,3,4,4,507,6,0,403,910,GasA,4,Y,1,910,475,0,1385,0,0,2,0,4,1,3,6,1,0,6,Detchd,2000,3,2,720,3,3,1,0,0,0,0,0,0,5,2,NA,0,6,2010,WD ,166000
165,A,RL,60,7200,Pave,NA,1,Lvl,Corner,1,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,CBlock,3,3,3,3,234,4,486,180,900,GasA,3,Y,1,900,0,0,900,0,1,1,0,3,1,2,5,1,0,6,Detchd,2005,3,2,576,3,3,1,222,32,0,0,0,0,5,5,NA,0,5,2010,WD ,134800
166,A,RL,87,10000,Pave,NA,2,Lvl,Corner,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1962,1962,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,261,3,3,CBlock,3,3,4,6,0,6,0,1116,1116,GasA,3,Y,1,1116,0,0,1116,0,0,1,1,3,1,3,5,1,0,6,Attchd,1962,3,2,440,3,3,1,0,0,0,0,385,0,5,5,NA,0,2,2010,WD ,160000
167,A,RL,81,7635,Pave,NA,2,Lvl,Corner,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,None,0,3,3,CBlock,3,3,4,4,588,5,350,237,1175,GasA,1,Y,1,1175,0,0,1175,0,0,1,1,3,1,3,6,1,0,6,Detchd,1960,2,2,484,3,3,1,0,0,0,0,0,0,5,5,NA,0,6,2010,WD ,148000
168,A,RL,80,9760,Pave,NA,1,Lvl,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,7,1963,1984,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,218,3,3,CBlock,3,3,1,3,717,5,263,415,1395,GasA,3,Y,1,1395,0,0,1395,1,0,1,0,2,1,3,7,2,1,3,Attchd,1963,2,2,440,3,3,1,657,0,113,0,240,0,5,5,NA,0,5,2010,WD ,192000
173,B,RM,56,8960,Pave,Grvl,1,Lvl,Inside,1,OldTown,Artery,Norm,1Fam,1Story,5,6,1927,1950,Gable,CompShg,WdShing,Wd Shng,None,0,3,3,CBlock,3,3,4,6,0,6,0,1008,1008,GasA,2,Y,2,1028,0,0,1028,0,0,1,0,2,1,3,5,1,1,2,Detchd,1927,3,2,360,3,3,1,0,0,130,0,0,0,5,5,NA,0,3,2010,WD ,115000
174,A,RM,69,5805,Pave,Grvl,1,Bnk,Inside,2,OldTown,Norm,Norm,1Fam,1Story,5,7,1957,1957,Hip,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,3,3,274,4,1073,0,1347,GasA,2,Y,1,1347,0,0,1347,1,1,1,0,3,1,2,6,1,0,6,Detchd,1957,3,2,551,3,3,1,0,0,0,0,0,0,5,5,NA,0,6,2010,WD ,143000
176,B,RM,47,4608,Pave,NA,1,Lvl,Corner,1,OldTown,Artery,Norm,1Fam,1Story,4,6,1945,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,2,CBlock,3,3,4,6,0,6,0,747,747,GasA,3,Y,1,747,0,0,747,0,0,1,0,2,1,3,4,1,0,6,Attchd,1945,3,1,220,3,3,1,0,0,0,0,0,0,5,5,NA,0,6,2010,WD ,80000
178,E,RM,50,5500,Pave,NA,1,Lvl,Corner,1,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,BrkTil,3,3,4,5,234,2,692,0,926,GasA,3,Y,1,926,0,390,1316,1,0,1,0,3,1,3,6,1,0,6,Detchd,1974,3,2,484,3,3,1,0,0,0,0,0,0,5,5,NA,0,4,2010,WD ,130000
179,D,RM,50,6900,Pave,NA,1,Lvl,Corner,1,OldTown,Norm,Norm,1Fam,1.5Fin,6,7,1938,2000,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,PConc,2,3,4,6,0,6,0,827,827,GasA,2,Y,1,827,424,0,1251,0,0,1,0,3,1,4,6,1,0,6,Detchd,1938,3,1,240,4,3,3,0,0,0,0,0,0,5,5,NA,0,1,2010,WD ,119000
183,B,RM,60,8520,Pave,NA,1,Lvl,Inside,1,OldTown,Norm,Norm,1Fam,1Story,6,8,1928,2003,Gable,CompShg,VinylSd,VinylSd,None,0,3,2,BrkTil,3,3,4,6,0,6,0,624,624,GasA,2,Y,1,720,0,0,720,0,0,1,0,2,1,3,5,1,0,6,Detchd,2005,3,2,484,3,3,1,106,0,0,0,0,0,5,5,NA,0,5,2010,WD ,105900
